Latitude,Longitude,Station,Departement,Region,Annee,Supercifie_Topographique
48.65040125,1.237363811,LA BLAISE A SAINT-ANGE-ET-TORCAY 1,Eure-et-Loir,Centre-Val de Loire,2010-03-08,
48.843316282,1.380537311,L'EURE A CROTH 2,Eure,Normandie,2010-03-08,
49.353519128,1.325227245,L'ANDELLE A RADEPONT 1,Eure,Normandie,2010-03-08,
49.489405915,1.32327277,LE CREVON A SAINT-AIGNAN-SUR-RY 1,Seine-Maritime,Normandie,2001-11-05,
49.476652023,1.405202963,LE HÉRON A ELBEUF-SUR-ANDELLE 1,Seine-Maritime,Normandie,2001-11-05,
49.533033958,1.686726922,LA RIVIÈRE DE MÉSANGUEVILLE A DAMPIERRE-EN-BRAY 2,Seine-Maritime,Normandie,2001-11-05,
49.310144107,1.23665644,LA SEINE A POSES 2,Eure,Normandie,2010-03-08,
48.967727806,1.823740694,LA MAULDRE A EPONE 1,Yvelines,Île-de-France,2010-03-08,
49.126061049,2.171535869,LE SAUSSERON A NESLES-LA-VALLEE 1,Val-d'Oise,Île-de-France,2010-03-08,
49.432331763,1.936695367,L'AVELON A LACHAPELLE-AUX-POTS 1,Oise,Hauts-de-France,2010-03-08,
49.581532082,1.758347481,LE THERAIN A HERICOURT-SUR-THERAIN 2,Oise,Hauts-de-France,2010-03-08,
49.414997738,2.35701448,LA BRÈCHE A ETOUY 1,Oise,Hauts-de-France,2010-03-08,
49.215513911,4.095313479,LA VESLE A TAISSY 2,Marne,Grand Est,2010-03-08,
49.237001844,4.409559607,LA SUIPPE A DONTRIEN 1,Marne,Grand Est,2010-03-08,
49.340364356,4.872091792,L'AIRE A GRANDPRE 3,Ardennes,Grand Est,2010-03-08,
49.227888673,5.034368743,L'AIRE A VARENNES-EN-ARGONNE 1,Meuse,Grand Est,2007-02-01,
49.074498614,5.120887883,L'AIRE A RARECOURT 1,Meuse,Grand Est,2010-03-08,
49.436146948,2.876470159,L'AISNE A CHOISY-AU-BAC 1,Oise,Hauts-de-France,2010-03-08,
49.398577833,3.47521073,L'AISNE A CONDE-SUR-AISNE 1,Aisne,Hauts-de-France,2010-03-08,
49.423237294,4.162760841,LA RETOURNE A SAULT-SAINT-REMY 1,Ardennes,Grand Est,2010-03-08,
49.491813669,4.157039256,L'AISNE A BALHAM 1,Ardennes,Grand Est,2010-03-08,
49.583735087,4.307492368,LA VAUX A HAUTEVILLE 1,Ardennes,Grand Est,2010-03-08,
49.480110153,4.579073297,L'AISNE A ATTIGNY 1,Ardennes,Grand Est,2010-03-08,
49.440394684,4.76519883,LA FOURNELLE A QUATRE-CHAMPS 1,Ardennes,Grand Est,2010-03-08,
49.101741344,4.868924485,L'AISNE A CHAUDEFONTAINE 1,Marne,Grand Est,2010-03-08,
48.915019015,5.065919321,L'AISNE A LISLE-EN-BARROIS 1,Meuse,Grand Est,2007-02-01,
49.737425294,3.740464362,LE VILPION A MARCY-SOUS-MARLE 1,Aisne,Hauts-de-France,2010-03-08,
49.734515082,4.259269838,LA SERRE A LE FRETY 2,Ardennes,Grand Est,2010-03-08,
49.492666233,3.363188565,L'AILETTE A LANDRICOURT 2,Aisne,Hauts-de-France,2010-03-08,
49.087490019,1.985400521,LA VIOSNE A ABLEIGES 1,Val-d'Oise,Île-de-France,2010-03-08,
49.200082325,2.203182776,L'ESCHES A BORNEL 1,Oise,Hauts-de-France,2010-03-08,
49.145447105,2.285255527,L'OISE A BEAUMONT-SUR-OISE 1,Val-d'Oise,Île-de-France,2010-03-08,
49.302897335,2.604164303,L'OISE A PONT-SAINTE-MAXENCE 2,Oise,Hauts-de-France,2010-03-08,
49.27060547,2.850035544,LA RIVIÈRE SAINTE-MARIE A GLAIGNES 1,Oise,Hauts-de-France,2010-03-08,
49.910217749,3.828080624,L'OISE A ERLOY 1,Aisne,Hauts-de-France,2010-03-08,
49.895418841,4.024098921,LE TON A ORIGNY-EN-THIERACHE 2,Aisne,Hauts-de-France,2010-03-08,
49.922122895,4.159498271,LE GLAND A SAINT-MICHEL 2,Aisne,Hauts-de-France,2010-03-08,
49.021328188,1.611228878,LA SEINE A MERICOURT 4,Yvelines,Île-de-France,2010-03-08,
48.93678189,2.038835044,LA SEINE A POISSY 1,Yvelines,Île-de-France,2010-03-08,
48.745962695,2.229481058,LA BIÈVRE A VERRIERES-LE-BUISSON 1,Essonne,Île-de-France,2010-03-08,
48.829335534,2.903299343,LE GRAND MORIN A TIGEAUX 1,Seine-et-Marne,Île-de-France,2010-03-08,
48.782994077,3.444805842,LE GRAND MORIN A VILLENEUVE-LA-LIONNE 1,Marne,Grand Est,2010-03-08,
49.008928009,3.569816932,LE SURMELIN A CELLES-LES-CONDE 3,Aisne,Hauts-de-France,2010-03-08,
48.816895156,2.41962979,LA MARNE A CHARENTON-LE-PONT 2,Val-de-Marne,Île-de-France,2010-03-08,
48.944716518,3.124601326,LA MARNE A LA FERTE-SOUS-JOUARRE 1,Seine-et-Marne,Île-de-France,2010-03-08,
48.910945594,4.098058066,LA SOMME-SOUDE A CHAINTRIX-BIERGES 1,Marne,Grand Est,2010-03-08,
48.996564165,4.241690712,LA MARNE A MATOUGUES 1,Marne,Grand Est,2010-03-08,
48.927480156,4.355064194,LA COOLE A COOLUS 1,Marne,Grand Est,2006-03-02,
48.745672626,4.625819928,LA SAULX A VITRY-EN-PERTHOIS 1,Marne,Grand Est,2010-03-08,
48.767567836,4.680473664,LA CHEE A MERLAUT 1,Marne,Grand Est,2009-03-27,
48.343716392,5.165197501,LE ROGNON A DOULAINCOURT-SAUCOURT 2,Haute-Marne,Grand Est,2001-07-13,
48.700651184,4.587424586,LA MARNE A FRIGNICOURT 1,Marne,Grand Est,2010-03-08,
48.514601866,4.93092796,LA BLAISE A WASSY 3,Haute-Marne,Grand Est,2010-03-08,
48.548436362,5.074603847,LA MARNE A BAYARD-SUR-MARNE 3,Haute-Marne,Grand Est,2010-03-08,
48.17852854,5.149853632,LA MARNE A RIAUCOURT 1,Haute-Marne,Grand Est,2010-03-08,
48.866707755,2.229494609,LA SEINE A SURESNES 2,Hauts-de-Seine,Île-de-France,2010-03-08,
48.710829764,2.464530637,L'YERRES A CROSNE 2,Essonne,Île-de-France,2010-03-08,
48.720465672,2.543070909,LE RÉVEILLON A VILLECRESNES 2,Val-de-Marne,Île-de-France,2007-01-04,
48.650945945,2.903425451,L'YERRES A COURTOMER 1,Seine-et-Marne,Île-de-France,2010-03-08,
48.705001583,2.03760784,L'YVETTE A CHEVREUSE 2,Yvelines,Île-de-France,2010-03-08,
48.538894375,2.079817138,L'ORGE A SERMAISE 2,Essonne,Île-de-France,2010-03-08,
48.360700494,2.383236139,L'ESSONNE A BUNO-BONNEVAUX 2,Essonne,Île-de-France,2010-03-08,
48.71866825,2.41559629,LA SEINE A ABLON-SUR-SEINE 2,Val-de-Marne,Île-de-France,2010-03-08,
